author,editor,format_type,print_date,day_of_week_name,day_of_week_integer,publish_type,puzzle_id,title,version,percent_filled,solved,star,solving_seconds
Joel Fagliano,,Normal,2023-07-13,Thursday,4,Mini,21284,,0,100,True,,107
Joel Fagliano,,Normal,2023-07-14,Friday,5,Mini,21282,,0,100,True,,42
Joel Fagliano,,Normal,2023-07-15,Saturday,6,Mini,21285,,0,100,True,,112
Joel Fagliano,,Normal,2023-07-16,Sunday,0,Mini,21281,,0,100,True,,43
Joel Fagliano,,Normal,2023-07-17,Monday,1,Mini,21288,,0,100,True,,24
Joel Fagliano,,Normal,2023-07-18,Tuesday,2,Mini,21289,,0,100,True,,34
Joel Fagliano,,Normal,2023-07-19,Wednesday,3,Mini,21290,,0,100,True,,31
Joel Fagliano,,Normal,2023-07-20,Thursday,4,Mini,21291,,0,100,True,,21
Joel Fagliano,,Normal,2023-07-21,Friday,5,Mini,21294,,0,100,True,,91
Joel Fagliano,,Normal,2023-07-22,Saturday,6,Mini,21293,,0,100,True,,101
Joel Fagliano,,Normal,2023-07-23,Sunday,0,Mini,21295,,0,100,True,,44
Joel Fagliano,,Normal,2023-07-24,Monday,1,Mini,21306,,0,100,True,,37
Joel Fagliano,,Normal,2023-07-25,Tuesday,2,Mini,21308,,0,100,True,,179
Joel Fagliano,,Normal,2023-07-26,Wednesday,3,Mini,21310,,0,100,True,,44
Joel Fagliano,,Normal,2023-07-27,Thursday,4,Mini,21307,,0,100,True,,43
Joel Fagliano,,Normal,2023-07-28,Friday,5,Mini,21309,,0,100,True,,38
Joel Fagliano,,Normal,2023-07-29,Saturday,6,Mini,21305,,0,100,True,,108
Joel Fagliano,,Normal,2023-07-30,Sunday,0,Mini,21304,,0,100,True,,27
Joel Fagliano,,Normal,2023-07-31,Monday,1,Mini,21322,,0,100,True,,31
Joel Fagliano,,Normal,2023-08-01,Tuesday,2,Mini,21321,,0,100,True,,119
Joel Fagliano,,Normal,2023-08-02,Wednesday,3,Mini,21320,,0,100,True,,53
Joel Fagliano,,Normal,2023-08-03,Thursday,4,Mini,21319,,0,100,True,,39
Joel Fagliano,,Normal,2023-08-04,Friday,5,Mini,21324,,0,100,True,,51
Joel Fagliano,,Normal,2023-08-05,Saturday,6,Mini,21323,,0,100,True,,251
Joel Fagliano,,Normal,2023-08-06,Sunday,0,Mini,21327,,0,100,True,,32
Joel Fagliano,,Normal,2023-08-07,Monday,1,Mini,21336,,0,100,True,,31
Joel Fagliano,,Normal,2023-08-08,Tuesday,2,Mini,21334,,0,100,True,,43
Joel Fagliano and The School of The New York Times,Joel Fagliano,Normal,2023-08-09,Wednesday,3,Mini,21337,,0,100,True,,47
Joel Fagliano,,Normal,2023-08-10,Thursday,4,Mini,21338,,0,100,True,,31
Joel Fagliano,,Normal,2023-08-11,Friday,5,Mini,21335,,0,100,True,,43
Joel Fagliano,,Normal,2023-08-12,Saturday,6,Mini,21339,,0,100,True,,59
Joel Fagliano,,Normal,2023-08-13,Sunday,0,Mini,21340,,0,100,True,,38
Joel Fagliano,,Normal,2023-08-14,Monday,1,Mini,21348,,0,100,True,,29
Joel Fagliano,,Normal,2023-08-15,Tuesday,2,Mini,21349,,0,100,True,,119
Joel Fagliano,,Normal,2023-08-16,Wednesday,3,Mini,21350,,0,100,True,,76
Joel Fagliano,,Normal,2023-08-17,Thursday,4,Mini,21360,,0,100,True,,37
Joel Fagliano,,Normal,2023-08-18,Friday,5,Mini,21361,,0,100,True,,52
Joel Fagliano,,Normal,2023-08-19,Saturday,6,Mini,21365,,0,100,True,,218
Joel Fagliano,,Normal,2023-08-20,Sunday,0,Mini,21362,,0,100,True,,77
Joel Fagliano,,Normal,2023-08-21,Monday,1,Mini,21370,,0,100,True,,49
Joel Fagliano,,Normal,2023-08-22,Tuesday,2,Mini,21371,,0,100,True,,49
Joel Fagliano,,Normal,2023-08-23,Wednesday,3,Mini,21372,,0,100,True,,41
Joel Fagliano,,Normal,2023-08-24,Thursday,4,Mini,21373,,0,100,True,,36
Joel Fagliano,,Normal,2023-08-25,Friday,5,Mini,21377,,0,100,True,,117
Joel Fagliano,,Normal,2023-08-26,Saturday,6,Mini,21378,,0,100,True,,82
Joel Fagliano,,Normal,2023-08-27,Sunday,0,Mini,21375,,0,100,True,,64
Joel Fagliano,,Normal,2023-08-28,Monday,1,Mini,21390,,0,100,True,,20
Joel Fagliano,,Normal,2023-08-29,Tuesday,2,Mini,21391,,0,100,True,,44
Joel Fagliano,,Normal,2023-08-30,Wednesday,3,Mini,21351,,0,100,True,,67
Joel Fagliano,,Normal,2023-08-31,Thursday,4,Mini,21393,,0,100,True,,51
Joel Fagliano,,Normal,2023-09-01,Friday,5,Mini,21392,,0,100,True,,29
